link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
330,1,153,1,605.7528573573692,0.37639831070958857,10,6.21371192,3.6345171441442146,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0204537 40.4388432)"
332,1,154,1,638.3687225214121,0.396664920104771,10,6.21371192,3.830212335128472,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0214047 40.4392844)"
334,1,155,1,587.9759719942332,0.3653522388023869,10,6.21371192,3.5278558319653985,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0192976 40.4383425)"
1098,1,1135,1,153.20983498683134,0.09520041444743271,10,6.21371192,0.919259009920988,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.020554 40.433828)"
1100,1,1136,1,246.46938044074258,0.1531493534248466,10,6.21371192,1.4788162826444553,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0202483 40.4351324)"
336,1,1488,1,385.6336985487321,0.23962226661161232,10,6.21371192,2.3138021912923925,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0199137 40.4365246)"
338,1,1541,1,547.7629629918393,0.34036497134964605,10,6.21371192,3.286577777951036,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0250549 40.4380579)"
340,1,1542,1,690.7041274605732,0.42918471389549334,10,6.21371192,4.144224764763439,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0236615 40.4397166)"
342,1,1543,1,467.80843504638455,0.2906834075126354,10,6.21371192,2.806850610278307,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0258004 40.4368658)"
344,1,1856,1,754.4433546004659,0.46879053189535214,10,6.21371192,4.526660127602795,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0230878 40.4403481)"
346,1,1857,1,682.2756783331904,0.42394750539549786,10,6.21371192,4.0936540699991415,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0219479 40.4397161)"
1002,1,1858,1,587.0183441501408,0.36475719496821113,10,6.21371192,3.5221100649008443,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0292328 40.4330264)"
1004,1,2037,1,1034.1956841935066,0.6426210025187385,10,6.21371192,6.205174105161039,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0308817 40.4269396)"
1073,1,2209,1,427.1774587279946,0.2654364265649239,10,6.21371192,2.5630647523679673,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0259986 40.4309439)"
1075,1,2210,1,447.3182512764751,0.2779513659490693,10,6.21371192,2.6839095076588504,0,0,0.5,2,1,1,99999,0.0,0,"LINESTRING (-80.02233638559323 40.43358738474576, -80.0252458 40.430229)"
